inbox: 1388 items; pending score: 1378
  batch 1/138  scored cum=10  t=6s
  batch 2/138  scored cum=20  t=12s
  batch 3/138  scored cum=30  t=18s
  batch 4/138  scored cum=40  t=24s
  batch 5/138  scored cum=50  t=30s
  batch 6/138  scored cum=60  t=36s
  batch 7/138  scored cum=70  t=43s
  batch 8/138  scored cum=80  t=49s
  batch 9/138  scored cum=90  t=55s
  batch 10/138  scored cum=100  t=60s
  batch 11/138  scored cum=110  t=66s
  batch 12/138  scored cum=120  t=75s
  batch 13/138  scored cum=130  t=83s
  batch 14/138  scored cum=140  t=88s
  batch 15/138  scored cum=150  t=95s
  batch 16/138  scored cum=160  t=100s
  batch 17/138  scored cum=170  t=106s
  batch 18/138  scored cum=180  t=112s
  batch 19/138  scored cum=190  t=118s
  batch 20/138  scored cum=200  t=124s
  batch 21/138  scored cum=210  t=130s
  batch 22/138  scored cum=220  t=135s
  batch 23/138  scored cum=230  t=142s
  batch 24/138  scored cum=240  t=154s
  batch 25/138  scored cum=250  t=163s
  batch 26/138  scored cum=260  t=169s
  batch 27/138  scored cum=270  t=174s
  batch 28/138  scored cum=280  t=180s
  batch 29/138  scored cum=290  t=187s
  batch 30/138  scored cum=300  t=193s
  batch 31/138  scored cum=310  t=199s
  batch 32/138  scored cum=320  t=205s
  batch 33/138  scored cum=330  t=211s
  batch 34/138  scored cum=340  t=217s
  batch 35/138  scored cum=350  t=224s
  batch 36/138  scored cum=360  t=230s
  batch 37/138  scored cum=370  t=237s
  batch 38/138  scored cum=380  t=243s
  batch 39/138  scored cum=390  t=248s
  batch 40/138  scored cum=400  t=254s
  batch 41/138  scored cum=410  t=262s
  batch 42/138  scored cum=420  t=270s
  batch 43/138  scored cum=430  t=280s
  batch 44/138  scored cum=440  t=286s
  batch 45/138  scored cum=450  t=292s
  batch 46/138  scored cum=460  t=299s
  batch 47/138  scored cum=470  t=305s
  batch 48/138  scored cum=480  t=311s
  batch 49/138  scored cum=490  t=318s
  batch 50/138  scored cum=500  t=324s
  batch 51/138  scored cum=510  t=329s
  batch 52/138  scored cum=520  t=336s
  batch 53/138  scored cum=530  t=341s
  batch 54/138  scored cum=540  t=348s
  batch 55/138  scored cum=550  t=354s
  batch 56/138  scored cum=560  t=360s
  batch 57/138  scored cum=570  t=366s
  batch 58/138  scored cum=580  t=373s
  batch 59/138  scored cum=590  t=379s
  batch 60/138  scored cum=600  t=389s
  batch 61/138  scored cum=610  t=396s
  batch 62/138  scored cum=620  t=402s
  batch 63/138  scored cum=630  t=409s
  batch 64/138  scored cum=640  t=415s
  batch 65/138  scored cum=650  t=422s
  batch 66/138  scored cum=660  t=428s
  batch 67/138  scored cum=670  t=434s
  batch 68/138  scored cum=680  t=441s
  batch 69/138  scored cum=690  t=448s
  batch 70/138  scored cum=700  t=453s
  batch 71/138  scored cum=710  t=459s
  batch 72/138  scored cum=720  t=465s
  batch 73/138  scored cum=730  t=471s
  batch 74/138  scored cum=740  t=477s
  batch 75/138  scored cum=750  t=483s
